notes,code,observer,survey,depth,year,month,day,exceldate,site,transect,fixed transect,TransectMatchCode,sand,pavement,dead_coral,apalmrub,acervrub,porrub,madrub,rubble,fila_macro,dictyota,crustose,redfilalg,halimeda,Lobophora,flesh-macro,lizalgae,sp_encrust,orsponge,sp_erect,tubesponge,lizsponge,bransoft,feathsoft,sea_fan,encsoft,fire_coral,acpa,acce,poas,poco,popo,pofu,Monliz,moan,maca,agag,agsp,Agliz,decy,sisp,fafr,disp,dila,meme,cona,issi,eufa,mysp,muan,masp,dsto,hecu,maar,stin,scsp,ocul,clar,sosp,anemcolon,anemsol,Zoanthids,correl,urchin,tubeworm,oyster,hydrozoan,crinoid,other,diadema_count,% COVER TO THE RIGHT OF HERE,TOTAL#pts.,livecoral_all_cover,deadcoral_cover,acpa_cover,acce_cover,poas_cover,poco_cover,popo_cover,moan_cover,maca_cover,sand_cover,pavement_cover,sponge_all_cover,bransoft_cover,feathsoft_cover,fansoft_cover,rubble,algae_all_cover,fila_macro_cover,flesh_macro_cover,crustose_cover,montast_all_cover,decy_cover,sisp_cover,fafr_cover,disp_cover,meme_cover,cona_cover,issi_cover,eufa_cover,mysp_cover,muan_cover,masp_cover,dsto_cover,lesp_cover,maar_cover,stin_cover,scsp_cover,ocul_cover,clar_cover,sosp_cover,Anemcolon_cover,Anemsol_cover,Zoanthids_cover,agag_cover,Agsp_cover,Pofu_cover,po_branch_cover,po_massive_cover,erect_soft_cover,enc_soft_cover,fire_coral_cover,sponge_erect_cover,sponge_encrusting_cover
,11 ,EK,training,30 ,1992 ,july,18 ,18/7,pelican,1 ,n,training-30-1992-july-18-pelican-1,0 ,39 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12 ,63 ,0 ,7 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,,,125 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.20,0.00,50.40,0.00,5.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,56.00,0.00,0 ,44.8 ,0 
,12 ,EK,training,30 ,1992 ,july,18 ,18/7,pelican,t,y,training-30-1992-july-18-pelican-t,0 ,24 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12 ,61 ,0 ,7 ,5 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,120 ,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,50.83,0.00,5.83,0.83,0.00,0.00,0.00,0.00,2.50,0.00,0.00,0.00,1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,0.00,2.50,0.00,0.00,0.00,0.00,0.00,56.67,4.17,0.833333333 ,47.22222222 ,0 
,13 ,DC,main,30 ,1992 ,july,20 ,20/7,iguana,1 ,n,main-30-1992-july-20-iguana-1,0 ,0 ,26 ,3 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,3 ,0 ,0 ,23 ,0 ,2 ,0 ,2 ,0 ,0 ,1 ,0 ,3 ,0 ,0 ,8 ,2 ,0 ,0 ,10 ,0 ,3 ,0 ,12 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,,,107 ,36.45,24.30,0.00,0.00,0.93,0.00,2.80,7.48,1.87,0.00,0.00,5.61,21.50,0.00,1.87,5.61,0.00,0.00,0.00,0.00,9.35,0.00,2.80,0.00,11.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.87,0.00,1.87,0.00,0.00,0.00,2.80,0.93,23.36,0.00,1.869158879 ,21.83596821 ,2.803738318 
,14 ,DC,main,30 ,1992 ,july,20 ,20/7,iguana,2 ,n,main-30-1992-july-20-iguana-2,1 ,0 ,5 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,5 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,3 ,0 ,0 ,2 ,3 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,34 ,38.24,14.71,0.00,0.00,5.88,0.00,8.82,5.88,8.82,2.94,0.00,0.00,14.71,14.71,0.00,8.82,0.00,0.00,0.00,0.00,14.71,0.00,8.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.88,0.00,5.88,0.00,0.00,0.00,8.82,5.88,29.41,0.00,0 ,86.50519031 ,0 
,15 ,DC,main,30 ,1992 ,july,20 ,20/7,iguana,t,y,main-30-1992-july-20-iguana-t,0 ,0 ,21 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,1 ,0 ,1 ,16 ,0 ,6 ,0 ,2 ,0 ,0 ,1 ,0 ,9 ,0 ,0 ,2 ,5 ,0 ,0 ,10 ,0 ,3 ,0 ,12 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,96 ,43.75,21.88,0.00,0.00,1.04,0.00,9.38,2.08,5.21,0.00,0.00,4.17,16.67,0.00,6.25,1.04,1.04,1.04,0.00,0.00,7.29,0.00,3.13,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.08,0.00,2.08,0.00,0.00,0.00,9.38,1.04,22.92,0.00,2.083333333 ,23.87152778 ,3.125 
,16 ,DC,main,30 ,1992 ,july,21 ,21/7,bigelow,1 ,n,main-30-1992-july-21-bigelow-1,38 ,0 ,22 ,0 ,12 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,8 ,0 ,0 ,15 ,0 ,3 ,5 ,1 ,0 ,4 ,1 ,0 ,0 ,0 ,0 ,1 ,3 ,1 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,121 ,9.92,18.18,0.00,3.31,0.83,0.00,0.00,0.83,2.48,31.40,0.00,9.92,12.40,0.00,2.48,9.92,0.83,0.00,0.83,0.00,3.31,0.00,1.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.83,0.00,0.00,0.00,0.83,14.88,4.13,0.826446281 ,12.2942422 ,3.305785124 
,17 ,DC,main,30 ,1992 ,july,21 ,21/7,bigelow,2 ,n,main-30-1992-july-21-bigelow-2,29 ,7 ,14 ,0 ,17 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,4 ,0 ,0 ,21 ,0 ,3 ,3 ,1 ,0 ,3 ,3 ,0 ,1 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,120 ,9.17,11.67,0.00,2.50,2.50,0.00,0.83,0.00,0.83,24.17,5.83,7.50,17.50,0.00,2.50,14.17,4.17,0.00,4.17,0.00,0.83,0.00,0.83,0.00,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.83,0.00,0.00,0.83,2.50,20.00,2.50,0.833333333 ,16.66666667 ,4.166666667 
,18 ,DC,main,30 ,1992 ,july,21 ,21/7,bigelow,t,y,main-30-1992-july-21-bigelow-t,31 ,10 ,13 ,0 ,12 ,0 ,0 ,0 ,0 ,9 ,3 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,4 ,0 ,0 ,15 ,0 ,4 ,1 ,0 ,0 ,2 ,1 ,0 ,1 ,0 ,0 ,5 ,4 ,2 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,122 ,14.75,10.66,0.00,1.64,0.82,0.00,0.82,4.10,3.28,25.41,8.20,4.92,12.30,0.00,3.28,9.84,9.84,0.00,7.38,2.46,7.38,0.00,2.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.64,0.00,0.00,0.82,0.82,15.57,0.82,0 ,12.76538565 ,1.639344262 
,19 ,DC,main,30 ,1992 ,july,21 ,21/7,iguana,1 ,n,main-30-1992-july-21-iguana-1,0 ,0 ,17 ,2 ,14 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,22 ,0 ,10 ,0 ,0 ,0 ,0 ,1 ,0 ,6 ,3 ,0 ,7 ,2 ,6 ,2 ,0 ,0 ,4 ,0 ,7 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,119 ,33.61,14.29,0.00,0.00,0.84,0.00,7.56,5.88,1.68,0.00,0.00,1.68,18.49,0.00,8.40,14.29,0.84,0.00,0.00,0.84,7.56,0.00,3.36,0.00,5.88,0.00,0.00,0.00,0.00,0.84,0.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.40,0.00,8.40,5.04,1.68,2.52,10.08,0.84,26.89,0.00,0 ,22.5972742 ,0.840336134 
,20 ,DC,main,30 ,1992 ,july,21 ,21/7,iguana,2 ,n,main-30-1992-july-21-iguana-2,1 ,0 ,18 ,0 ,7 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,38 ,0 ,7 ,0 ,1 ,0 ,2 ,3 ,0 ,4 ,0 ,0 ,9 ,12 ,4 ,2 ,0 ,0 ,2 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,120 ,34.17,15.00,0.00,1.67,2.50,0.00,3.33,7.50,10.00,0.83,0.00,0.83,31.67,0.00,5.83,5.83,1.67,0.00,0.00,1.67,17.50,0.00,1.67,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.67,1.67,1.67,3.33,1.67,0.00,3.33,2.50,37.50,0.00,0.833333333 ,31.25 ,0 
,21 ,DC,main,30 ,1992 ,july,21 ,21/7,iguana,t,y,main-30-1992-july-21-iguana-t,2 ,0 ,18 ,1 ,8 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,29 ,0 ,14 ,0 ,2 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,8 ,4 ,2 ,1 ,0 ,0 ,2 ,0 ,5 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,119 ,21.01,15.13,0.00,0.00,1.68,0.00,0.00,6.72,3.36,1.68,0.00,2.52,24.37,0.00,11.76,10.92,0.00,0.00,0.00,0.00,10.08,0.00,1.68,0.00,4.20,0.00,0.00,0.00,0.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.92,0.00,10.92,1.68,0.84,0.00,0.00,1.68,36.13,0.00,1.680672269 ,30.36508721 ,0 
,22 ,DC,main,30 ,1992 ,july,22 ,22/7,muskN,1 ,n,main-30-1992-july-22-muskN-1,4 ,0 ,14 ,4 ,11 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,3 ,0 ,0 ,24 ,1 ,10 ,5 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,12 ,6 ,3 ,0 ,0 ,5 ,0 ,0 ,10 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,127 ,29.92,11.02,0.00,0.00,0.79,0.00,0.00,9.45,4.72,3.15,0.00,7.87,18.90,0.79,7.87,11.81,0.79,0.00,0.79,0.00,14.17,3.94,0.00,0.00,7.87,0.00,0.00,0.00,0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.15,0.79,3.15,2.36,0.00,0.00,0.00,0.79,27.56,3.94,0 ,21.7000434 ,5.511811024 
